video_id	title	size	category_ratio	views	comments	likes	views_wma	comments_wma	likes_wma
_mGG40ZvXyE	КАК ДАЛЕКО ОГРОМНЫЙ ТАНК СМОЖЕТ ПРОЕХАТЬ ПО СЛОМАННОЙ ДОРОГЕ? ЭКСПЕРИМЕНТЫ ГТА 5	652.0	0.15	997671.0	2637.0	51999.0	923604.7142857143	2614.1785714285716	49943.892857142855
EAI0aeioV5E	Создание секретного Ратте - Мультики про танки	181.5	0.15	894619.0	1086.0	34504.0	845202.6785714285	1028.5714285714287	33634.53571428572
yvdyDTKuJXI	Грядет мобилизация в России?	590.5	0.21	700161.0	5286.0	29381.0	679952.3928571428	5227.714285714285	28890.785714285714
V3exqLIGdbA	ТОП 10 САМЫХ ОСТРЫХ БЛЮД В МИРЕ // ЗАЧЕМ ЭТО ЕДЯТ ?	254.5	0.12	279292.0	7081.0	29038.0	192886.5	4034.0	22328.60714285714
-nZjGO2np3Y	"😁Боятся ехать в УКРАИНУ: как Россия ""мотивирует"" своих военных"	1308.5	0.21	1505151.0	3927.0	30230.0	1394524.9285714286	3669.785714285714	28849.64285714286
tHvupGgb_iA	Я ПРОВЕЛ 100 ДНЕЙ НА ЗОМБИ ОСТРОВЕ В МАЙНКРАФТ И ВОТ ЧТО, ПРОИЗОШЛО! #4	715.0	0.15	326765.0	880.0	24023.0	290669.75	838.1428571428571	22491.535714285714
k_LQZaTCjJI	ВПЕРВЫЕ ПРИРУЧИЛИ РАЗБОЙНИКА В МАЙНКРАФТ!	480.0	0.15	1692878.0	13703.0	122922.0	1619263.75	13541.464285714286	120183.0
ejqo6qHgWTg	КОНТАКТЫ в телефоне МакSим: Дима Билан, Егор Крид, Антон НЕ БРАТЬ!	1191.5	0.05	959002.0	3404.0	50635.0	863313.6428571428	3253.785714285714	47241.357142857145
kJRmCcqrg7g	С 0% ДО 95% - ТРИ ОТМЕТКИ ЗА 1 СТРИМ - Т77	21336.0	0.15	95537.0	17.0	3996.0	94431.07142857143	16.857142857142858	3980.5714285714284
SgbomNuKv_s	“Жуунбай жүрүп, биттеп кеттим” деген аял таанылгыс болуп өзгөрдү	654.0	0.12	450738.0	2436.0	11618.0	422761.9285714286	2355.1785714285716	11082.92857142857
tD09cBIltKE	ПЕРЕПИСКА С АЗИАТКОЙ ИЗ ТИТОК! Требует 100 000$! LyapoTanya	458.5	0.2	94665.0	1394.0	8409.0	77822.32142857143	1275.75	7351.285714285715
dUTWbjR5nHA	ВОЙНА! КАК ИЗМЕНИЛАСЬ МОЯ ЖИЗНЬ!	218.0	0.12	298302.0	2636.0	30140.0	249272.85714285713	2173.5714285714284	26140.678571428572
kA81LzzdDGw	CRAZY Real Madrid DRESSING ROOM after reaching CHAMPIONS LEAGUE FINAL!	90.5	0.11	5047155.0	5686.0	174067.0	4676347.75	5542.392857142857	167808.57142857142
KD8Uq9lu-DY	ЕС дает заднюю |  Росатом подписался на лохотрон | Импортозамещаем микроэлектронику| AfterShock.news	454.5	0.21	529526.0	1156.0	22559.0	509701.25	1147.3214285714287	22276.5
DXDgtGpvl8Y	Эмбарго на энергоносители и бедность. Заседание Европарламента	670.5	0.05	1252294.0	15542.0	48379.0	1220053.6785714286	15616.035714285714	47603.92857142857
5HJSLAgch8A	Что ждет Россию? / Польша покупает российский газ у Германии / Одиночный пикет Матвиенко / Зеленский	846.5	0.05	98462.0	845.0	9910.0	89936.10714285714	813.9642857142857	9376.607142857143
CXpTpbhbkMU	ПОЮ ПЕСНИ из Фильмов и Мультиков :3	6649.5	0.04	74808.0	124.0	7150.0	69867.67857142857	114.82142857142857	6972.464285714285
c5guhIm9YDI	"Удар по Днепру. Бои на ""Азовстали"". Восточный фронт | Война России с Украиной: день 71-й"	1950.0	0.21	264978.0	1199.0	7147.0	252532.17857142858	1165.4642857142858	7009.035714285715
0uBvrBK5Rbs	VLOG: СЛЕЗЫ НАВОРАЧИВАЮТСЯ! ВОТ ЭТО МЕНЯ ПРОРВАЛО! 04.05.22	431.0	0.2	400686.0	1033.0	20401.0	377363.96428571426	1011.0	19667.535714285714
OBf0d2PYdk4	НАВСЕГДА ЗАБАНИЛ СНАЙПЕРОВ В МАЙНКРАФТ!	636.0	0.15	1793208.0	17218.0	143373.0	1661699.357142857	16987.321428571428	138502.2857142857
EPCJizoIeUI	СМОТРЮ СВОИ СТАРЫЕ ВИДЕО КРИНЖ ЧЕЛЛЕНДЖ	1071.5	0.2	588784.0	2299.0	68203.0	552306.8214285715	2226.035714285714	64938.642857142855
3s58t9KFCik	День рождения Приятного Ильдара/влог	1179.0	0.2	209395.0	647.0	24705.0	185021.64285714287	608.25	22584.0
Fy8TJFvW9g0	МЕНЯ ВЫГНАЛИ из ДОМА ЗЛЫЕ ДЕВОЧКИ в ИКЕА ► SCP в РОБЛОКС	510.5	0.15	237474.0	1198.0	10486.0	195568.7857142857	1106.3214285714287	9484.142857142857
8G2jppE4rgo	Шоколадное фондю Челлендж #1 | Шоколадный Фонтан от Multi DO Food Challenge	525.5	0.2	517506.0	77.0	7844.0	482986.39285714284	75.57142857142857	7297.678571428572
KGQjUIu9b54	Мобилизация в России? Коллапс экономики, цена путинской войны | Милов по вторникам	5300.5	0.21	753012.0	2889.0	43907.0	699567.4642857143	2835.214285714286	43241.28571428572
d5IPaqKJCCc	Ярослав Сумишевский и Ян Пу на фестивале «Дорога на Ялту» | Прощайте скалистые горы	190.0	0.04	135632.0	452.0	5473.0	107484.64285714286	401.32142857142856	4585.535714285715
tQjjfBRxbcs	Восьмидесятые | Серия 92	729.5	0.05	115686.0	214.0	2032.0	109064.42857142857	212.0	1986.357142857143
sbza7p2w33M	Ищем живую Приору за 200тр. Их просто нет :(	1706.0	0.05	2245068.0	8733.0	105070.0	2109500.5	8527.642857142857	101136.53571428571
yw9qEpDan10	Филипп Киркоров о детях, предсказании Ванги и долгах | ЭКСКЛЮЗИВ | Документальный фильм МУЗ-ТВ	1391.0	0.04	194938.0	912.0	2064.0	162639.0	825.2142857142857	1767.5
uWRxfANFDBs	20 минут назад. Ситуация в Украине усугубляется. Чо ждать,  капитуляция или газовый бунт? 3 мая	263.5	0.05	1093038.0	3190.0	46438.0	1089166.5	3288.964285714286	46384.25
9wOdmZepV0E	Gülümse Kaderine 2. Bölüm	4203.0	0.12	2556569.0	2594.0	37798.0	2208532.0	2336.214285714286	34386.0
uGzDKU7gxho	INCREDIBLE FULL TIME SCENES! Real Madrid stun Man City to reach ANOTHER Champions League final!	292.0	0.11	2444259.0	3528.0	38780.0	2440064.5714285714	3534.6785714285716	38790.642857142855
7EpAv6nHKFo	КУПЛИНОВ ВАРИТ ЗЕЛЬЯ	1777.5	0.15	1500182.0	2721.0	108088.0	1337462.7857142857	2617.1785714285716	100885.39285714286
MWYf3-Mkx8A	Азия: штурм «Азовстали», в Казахстане требуют удалить видео Кеосаяна	746.5	0.21	264228.0	1909.0	3292.0	255473.17857142858	1866.2142857142858	3199.8928571428573
jVsUrGkErUI	ЭТОТ МАЗ НИКТО НЕ ОСТАНОВИТ!!! МИЛИЦИЯ В ШОКЕ!!! - КОШКИ МЫШКИ В  BEAM NG MP Мультиплеер	923.0	0.15	231680.0	328.0	20130.0	214796.57142857142	317.64285714285717	19154.35714285714
jeVqPpWlPxg	BTS (방탄소년단) ‘Proof’ Logo Trailer	160.5	0.04	8222836.0	74187.0	1915049.0	7573391.678571428	71921.32142857143	1784959.5
O6PB0lXt9Ro	ПАДЕНИЕ ПРОДАЖ ПРОДОЛЖАЕТСЯ. Агония дилеров. НОВАЯ Лада Гранта от 700 тр	1070.5	0.05	859305.0	3724.0	16472.0	724262.4642857143	3266.035714285714	14542.5
obK8sGRQlso	Матч ФК ДЕНЬГИ vs АМКАЛ // ФК ДЕНЬГИ 2 Сезон 10 Серия	1364.0	0.11	37034.0	106.0	3195.0	36218.82142857143	103.89285714285714	3157.5714285714284
GH39qiQCGS0	NHL Game 1 Highlights | Penguins vs. Rangers - May 3, 2022	253.5	0.11	305954.0	707.0	3840.0	302786.85714285716	709.2857142857143	3819.8214285714284
yDEoKxx1bLI	ЛУЧШИЕ МОМЕНТЫ из РОЛИКОВ А4 !	751.0	0.12	8722112.0	37249.0	640430.0	8190100.25	36514.92857142857	619540.6785714285
ucGb5xbkbjk	⚡КИСЕЛЬОВ: Путіну роблять операцію, невідома хвороба, у Кремлі бояться ядерних ракет / Україна 24	978.5	0.21	1132504.0	3171.0	24304.0	1094968.2857142857	3070.785714285714	23800.178571428572
-JVOhHA5zZ8	НА ЧТО ГОТОВЫ МУЖИКИ РАДИ ДЕНЕГ? | РЕАЛИТИ ШОУ «Я НЕ ГЕЙ» | 2 серия	1826.0	0.2						
