video_id	title	published_at	category_id	duration	views_1	views_2	views_3	views_4	views_5	views_6	views_7	views_8	likes_1	likes_2	likes_3	likes_4	likes_5	likes_6	likes_7	likes_8	comments_1	comments_2	comments_3	comments_4	comments_5	comments_6	comments_7	comments_8
m_jpfxJz04I	JE RÉGALE YUKI PENDANT 24H ! (elle a passé la meilleure journée de sa vie)	2022-05-01T09:20:19Z	24	PT32M11S	2672101	2733157	2893857	3013166	3109813	3151558	3175372	3261496	174683	176955	181704	185006	187428	188485	189288	190831	4361	4399	4511	4586	4633	4654	4671	4714
xNZLnGcSZm0	KO IMPRESSIONNANT DES POIDS LOURDS 110KG ! YFC#38	2022-04-30T17:42:55Z	24	PT37M52S	323636	327735	342593	349024	354518	358541	360590	367013	13838	13973	14372	14550	14690	14773	14855	15015	883	891	921	933	943	960	961	975
-NgoUgB34BA	Le choix de Cristiano Ronaldo entre le s*xe et le football #shorts	2022-05-04T10:06:16Z	22	PT20S	93236	106720	149915	177512	197848	203997	206836	218908	6017	6718	9288	10571	11659	11967	12299	12771	43	50	63	70	75	83	89	90
5l1BNHX_a3s	Donner la vie.	2022-05-04T17:02:09Z	22	PT27M34S	223070	269456	333570	349928	365681	373170	377573	385351	11733	13563	15659	16380	17141	17382	17557	17795	429	477	548	569	577	584	597	603
l8DOByEKujw	L’analyse de @Jarry tourne MAL 😰	2022-05-01T16:00:33Z	28	PT15M48S	136337	143749	158835	163767	167163	169024	169881	172887	9459	10092	10770	11115	11308	11390	11439	11581	375	385	403	413	434	436	436	440
0-z2-XUr1yA	Résumé NBA VF - Playoffs  : Golden State Warriors @ Memphis Grizzlies - Game 2	2022-05-04T07:34:21Z	17	PT9M37S	81144	85044	95468	100360	101778	102371	102700	103379	2832	2909	3081	3151	3168	3177	3184	3196	164	169	172	173	173	173	173	173
OuVXEipPe8c	LE CLAN A.R.M.E. CRAQUE ET DÉPENSE 1000€ SUR LA MISE A JOUR CLASH OF CLANS !	2022-05-02T16:15:01Z	20	PT13M19S	136300	141936	157391	171568	184356	191257	193318	200262	10041	10357	10995	11580	12091	12332	12424	12628	526	531	550	554	567	571	574	574
nY3Pqhs_Jbs	ON PREND UN DOS D’ÂNE À 170km/h.	2022-04-28T16:15:05Z	2	PT31M59S	2863496	2926436	3107839	3186948	3251527	3291446	3313603	3376642	250092	252869	257892	260242	262436	263555	264427	266104	8700	8746	8848	8912	8958	8990	9013	9050
VhAGdjRFXwM	La note de Karim Benzema ! 🆕🔥⚽️ | #football #shorts	2022-05-03T15:26:43Z	22	PT59S	133162	140306	172444	195522	221263	228917	232831	244325	12968	13779	16180	17970	19835	20428	20836	21515	121	124	144	161	188	189	195	199
qiymUC8h-bo	Le MMORPG le plus ATTENDU de tous les temps	2022-04-30T06:16:47Z	20	PT15M36S	250460	258352	279651	291955	306395	314941	318752	325269	8001	8231	8711	9069	9556	9831	9929	10085	739	753	783	794	823	829	836	844
aA0MuS0UhME	ON RÉPOND À VOS QUESTIONS avec Hilona ! (Chirurgie, Télé-réalité, Julien Bert, etc...)	2022-05-04T16:04:47Z	22	PT25M35S	266581	355466	509356	556328	599304	621266	634820	664451	14402	18072	22922	24481	26008	26731	27270	28041	234	278	358	383	406	417	418	426
rtu9E1LX0Tw	La meilleure dégustation de Sauces ! (Mayo, barbecue, algérienne, burger, ketchup...)	2022-05-03T15:00:36Z	26	PT27M56S	248169	265368	296443	323929	346108	365064	371853	386865	13729	14525	15629	16773	17656	18340	18678	19111	1279	1332	1417	1470	1522	1557	1579	1609
IsFpeXZTWao	LES ANIMATIONS LES PLUS TRISTE AU MONDE ! (Tu vas pleurer)	2022-05-01T15:15:01Z	24	PT11M5S	263352	278927	336453	388146	422046	433351	440277	471005	14765	15536	17708	19516	20687	21067	21510	22434	320	325	364	396	407	411	418	433
NmX1N2p_UUI	ON VA À LOS ANGELES !! ( et Coachella lol )  #zozovlog	2022-05-01T16:00:19Z	24	PT32M13S	136164	141173	155203	163161	170971	174394	176571	181104	9588	9948	10681	11150	11587	11748	11871	12076	137	141	148	150	154	155	157	159
-j8ZzRriM9k	Celui qui trouve le Mod le plus bizarre à gagné... (Ninjaxx est chaud)	2022-05-03T19:54:58Z	20	PT13M37S	540568	567408	609543	627756	635133	639095	640879	645441	69377	71969	74167	75252	76069	76318	76502	76735	1763	1816	1845	1864	1873	1875	1880	1879
k2MpW9v7nJs	En panne au milieu de la route avec le  fendt 724 one 🤬	2022-05-03T16:47:36Z	2	PT2M28S	53459	55183	63250	72875	81417	91764	92937	95937	2948	3019	3199	3326	3425	3462	3491	3516	189	189	187	201	208	208	216	220
UaIw4msLhe4	Résumé : Real Madrid (Q) 3-1 Manchester City - Ligue des champions (demi-finale retour)	2022-05-04T21:53:32Z	17	PT7M38S	1116258	1594293	1936114	2019618	2061453	2078344	2088530	2114908	None	None	None	None	None	None	None	None	1891	2139	2317	2338	2361	2366	2373	2380
HOKEJEDRwxE	JEANFILS DEVINE les SONS de FORTNITE pour 100'000 VBUCKS ! ( CHALLENGE )	2022-04-30T08:45:00Z	20	PT11M57S	130680	134089	141713	145788	148724	150265	151189	155159	6187	6365	6605	6756	6868	6922	6962	7099	112	112	119	122	122	120	122	123
ur_zqGDzIjE	Soprano - Superman n’existe pas feat. Zamdane (Clip officiel)	2022-04-29T15:00:06Z	10	PT3M40S	208563	220455	262900	287803	312332	326163	337692	366163	10825	11169	12007	12482	12945	13305	13536	14024	636	657	748	792	815	829	842	856
i22Lh2Npe-Y	JE PRANK MON COPAIN (REGARDEZ SA TÊTE)	2022-04-29T16:35:21Z	24	PT22S	540214	541401	544618	547244	549248	550386	551064	553819	27009	27079	27156	27252	27340	27376	27414	27495	150	151	157	159	159	160	160	161
sNB8REXJ4DY	Qui connait le mieux Kinda ? Moi vs sa copine ⚡️	2022-04-29T18:00:18Z	22	PT17M8S	116285	116833	118903	120378	121706	122452	122795	124095	7715	7756	7888	7957	8026	8053	8080	8126	604	606	621	625	630	626	629	637
SA2_QS-025Y	La FIN d'INTERSTELLAR EXPLIQUÉE 🪐	2022-05-03T15:18:19Z	1	PT11M21S	115138	119658	133630	149067	165219	176329	179769	190206	11083	11486	12287	13238	14075	14572	14778	15193	268	272	285	310	335	354	362	372
q0jyHVYCqX8	UNE PESÉE MALAISANTE - 28 JOURS ÉPISODE 1	2022-05-02T15:50:10Z	17	PT24M52S	130709	136140	148019	153624	158603	161901	163620	168174	8688	8876	9256	9443	9631	9756	9864	10015	3166	3201	3211	3521	3752	3852	3995	4103
i3PVch18sVc	On vous offre 10 000 ou 15 000€ !! (ft Nasdas)	2022-04-30T10:00:20Z	22	PT7M53S	924135	930649	945812	950897	956903	960238	962174	966725	42112	42349	42666	42802	42980	43075	43134	43238	2533	2541	2538	2539	2543	2546	2548	2550
geNqUzG2fRo	BEENDO Z - EDL 75	2022-05-04T10:00:10Z	10	PT2M50S	135741	157600	212881	251158	291000	317303	334647	379855	13813	15062	16960	18070	19447	20153	20669	21640	502	520	534	555	581	596	605	620
T3UtNc-wJ84	UNCHAINED ME COACH SUR FORTNITE !	2022-04-30T11:15:13Z	20	PT11M36S	131847	134153	141234	145702	148720	149715	150349	152631	8872	9052	9378	9637	9764	9830	9877	9998	289	292	300	309	310	309	312	313
XGQIQVsgAQw	Je vous présente ma famille japonaise	2022-04-30T11:30:07Z	24	PT25M25S	487108	492861	507349	515383	522984	527311	529402	533716	39229	39696	40597	41146	41714	41986	42134	42363	1318	1331	1359	1381	1404	1412	1425	1442
Gdzj4rkS5TY	HIGHLIGHTS | PSG vs. Olympique Lyonnais -- UEFA Women’s Champions League 2021-2022 (Français)	2022-04-30T23:00:02Z	17	PT10M23S	48892	49251	50241	50754	51253	51512	51655	51969	604	607	616	616	620	621	622	623	37	38	43	44	44	42	44	46
drSVg0q9-1Y	On a reçu le hacker qui rend fou les arnaqueurs (ils le supplient)	2022-05-03T18:18:54Z	28	PT23M27S	172894	182179	208056	235949	267182	289389	295894	323401	8243	8713	9558	10467	11515	12070	12314	13023	456	483	619	651	678	705	711	720
ITjuQpjG3JY	🔴 REAL MADRID - MAN CITY LIVE / 🔥🇩🇿MAHREZ VS 🇫🇷BENZEMA, LE CHOC! / LIGUE DES CHAMPIONS / UCL / LDC	2022-05-04T22:13:14Z	17	PT3H52M41S	571322	576800	587542	591590	593674	595666	596298	599206	18445	18636	18786	18749	18809	18829	18837	18868	86	111	131	136	141	142	142	145
jeVqPpWlPxg	BTS (방탄소년단) ‘Proof’ Logo Trailer	2022-05-04T15:02:57Z	10	PT5M21S	5281368	5871921	6883185	7346701	7799083	8069342	8221643	8559844	1272891	1347559	1683000	1757107	1839427	1888199	1914998	1966663	63152	65743	69493	71171	72861	73726	74181	75023
pqnSZjwlYKY	Retrouver sa petite amie parmi 100 filles	2022-05-02T15:00:21Z	23	PT28M28S	1150171	1188000	1357098	1511811	1635337	1716844	1751133	1840860	73719	75979	84045	91229	96814	100134	102046	104826	748	761	793	837	869	879	886	897
fSZ3M_BVWN8	Qui est le SUPERIOR IRON MAN ?  (Le Tony Stark le plus FOU et PUISSANT )	2022-05-02T15:00:39Z	24	PT9M32S	123374	125662	133274	141193	150881	156016	157738	162551	7605	7742	8129	8419	8719	8874	8969	9136	239	248	262	270	280	286	291	293
Pr8_TRbTTdU	CRYPTO.COM C'EST FINI?	2022-05-02T09:01:53Z	24	PT40M21S	42713	43298	45211	46314	47845	48780	49159	50437	1629	1633	1660	1688	1713	1732	1742	1752	398	399	404	436	444	449	422	436
mFEQT5DBsA4	J'achète une nouvelle voiture (je suis blindé de fou)	2022-04-30T15:10:04Z	24	PT12M58S	200887	206886	216184	219280	221717	223698	224274	225512	19709	20139	20690	20944	21143	21295	21361	21463	195	201	209	215	217	217	217	218
r1Rrt8iaOUc	Didine Canon 16 - Tesla (Official Freestyle Music Video)	2022-05-03T16:00:22Z	10	PT3M20S	2013706	2431715	3910351	4989144	6221171	7154677	7767492	9312457	172695	189090	233916	259458	284326	299772	311192	333419	12868	13737	16644	17977	19293	20013	20621	21608
p0IdUrGcy2c	Kalash feat Prince Swanny – Punani Imperial (Clip officiel)	2022-04-28T22:00:32Z	10	PT4M16S	1054370	1107606	1266762	1343565	1414553	1460589	1495050	1580278	29592	30126	31623	32274	32832	33183	33440	34042	1115	1128	1167	1195	1207	1222	1228	1249
DKXoha0_Mbk	🥣  Ma mayonnaise inratable - Philippe Etchebest	2022-05-04T15:00:06Z	26	PT4M7S	101978	154510	238347	256890	274543	286597	295505	315838	4963	5985	7080	7580	8101	8391	8640	9075	373	433	449	482	508	521	527	554
0LSM2qNu8pw	♡ Fin du makeup ? Avenir Youtube ? Permis ? Projet de marque ? Je vous dis TOUT 😐	2022-04-30T16:00:00Z	26	PT32M44S	108070	109655	115068	117279	119348	120329	120832	122239	4624	4681	4816	4887	4963	5002	5021	5065	521	525	542	547	550	551	552	556
g4rdMACTFVY	EPISODE 3 _ RDV GYNÉCOLOGUE	2022-05-04T17:00:19Z	22	PT20M14S	369240	490154	676734	716756	750762	766374	774380	793328	12900	15348	18457	19298	20123	20429	20643	21003	588	669	795	804	819	826	835	837
9yPXbe-H0JE	Insomnie avec Marine LB	2022-05-03T16:00:15Z	24	PT17M27S	102430	106980	118116	129868	139471	144650	146504	150502	6210	6483	7231	7945	8562	8848	8972	9139	118	121	130	134	144	149	150	155
qzmhjYAMmII	MON PERE VEUT ME FRAPPER PARCE QUE J'SUIS HETERO ??! (prank)	2022-05-02T15:45:01Z	23	PT13S	217074	224169							10525	10991							233	234						
vUbIrAC-liE	[EXCLU] Kerchak - Tarzan #PlanèteRap	2022-04-29T16:00:29Z	10	PT3M12S	167039	179272	218075	245182	274313	297047	313893	363221	9059	9456	10603	11429	12396	13155	13761	15144	230	242	267	273	283	293	304	322
W0aprJSk9S8	ELLE A TOUTES LES RÉPONSES ?! - NUIT DE LA CULTURE	2022-05-02T17:00:10Z	24	PT19M32S	110022	112506	119189	125445	130425	133401	134369	137145	6112	6248	6526	6776	6954	7061	7100	7209	159	163	168	172	177	175	179	181
3Qy3f5qthfg	ELLE LUI A VRAIMENT AVOUÉ ÇA ?! (next)	2022-05-01T16:50:12Z	23	PT19M12S	358746	364687	388245	400263	411716	419386	422305	430188	51213	52141	54187	55429	56576	57318	57727	58360	992	1002	1033	1046	1061	1075	1081	1084
3IFr8Kkx0fA	Enquête dans un château français hanté (feat. Feldup)	2022-05-01T09:47:50Z	24	PT1H15S	1135490	1203482	1373958	1450726	1521873	1555693	1570290	1610432	80255	84091	90425	93659	96793	97983	98788	100078	3722	3835	4043	4165	4276	4317	4343	4397
dYyj7-UO6tI	au secours mon ado est une KIKOOJAP	2022-05-02T16:35:31Z	24	PT12M53S	152891	155247	165378	178102	189305	196230	198874	206058	16338	16614	17540	18595	19460	19994	20304	20719	786	804	807	848	893	916	967	1010
NVVgKzJucd8	ASTUCE POUR AVOIR DU CHOCOLAT ILLIMITÉ !	2022-05-04T17:53:39Z	24	PT25S	172243	236064	328954	416044	504899	539363	556202	606888	17838	25431	31848	37714	43761	46627	49414	51478	125	163	214	257	286	298	310	324
4vbDFu0PUew	LE SSERAFIM FEARLESS OFFICIAL M/V	2022-05-02T08:58:13Z	10	PT3M3S	31912493	33137969	40236974	44602892	51079500	53319654	53977360	56500522	989056	1006666	1071401	1108585	1152775	1175333	1188674	1219547	58731	59709	62684	64869	67568	68529	69260	70635
n_VRY0tzifw	Ce que je vous ai caché. (nouveau départ, nouveau crush, nouveaux tatouages...)	2022-05-01T15:44:05Z	22	PT12M27S	112286	114766	121751	125177	128100	129856	130643	132792	11186	11378	11762	12016	12199	12289	12339	12459	703	711	742	750	760	763	768	784
jvXmF56VRWA	DES PORTES SUR PIVOT MINIMALISTES & PEINTURE À LA CHAUX - EP95	2022-05-01T10:05:17Z	26	PT26M39S	173333	175849	183793	187557	193303	195332	196190	198392	11131	11240	11515	11683	11902	11980	12012	12081	540	542	552	567	577	578	580	580
47H7E3ccFmg	McDo Québec VS McDo France ! (Feat. DENYZEE)	2022-04-29T16:18:05Z	26	PT15M2S	792600	808015	842086	857397	872108	882807	889359	905170	35832	36396	37318	37662	38047	38268	38480	38795	1092	1100	1117	1125	1128	1132	1135	1144
