video_id	title	published_at	category_id	duration	views_1	views_2	views_3	views_4	views_5	views_6	views_7	views_8	likes_1	likes_2	likes_3	likes_4	likes_5	likes_6	likes_7	likes_8	comments_1	comments_2	comments_3	comments_4	comments_5	comments_6	comments_7	comments_8
TW5K4u6IZq8	INSULTO IL MIO RAGAZZO NELLA GARA DI SCIA MORTALE SU GTA 5!	2022-05-03T12:15:02Z	20	PT15M31S	172899	182752	194860	203715	210533	213907	215255	218062	15262	15852	16291	16734	17068	17196	17270	17367	244	248	249	249	252	254	254	254
kA81LzzdDGw	CRAZY Real Madrid DRESSING ROOM after reaching CHAMPIONS LEAGUE FINAL!	2022-05-04T23:56:08Z	17	PT3M1S	2576643	3368959	4259346	4697093	4927603	5015325	5047155	5102353	125944	144946	161890	168950	172382	173515	174068	174868	4483	5004	5482	5566	5639	5665	5686	5697
K8SYEIBmSPg	KETA - NFT (OFFICIAL VIDEO)	2022-04-29T17:37:44Z	10	PT2M14S	356351	376590	426792	458462	488578	509690	524503	555977	18678	19081	19836	20239	20630	20857	21055	21355	5466	5480	5332	5344	5352	5354	5360	5369
P6Ps7MYB2bI	Blake Lively Met Gala Dress Reveal	2022-05-02T22:22:23Z	24	PT44S	823091	863123	990936	1036270	1055902	1071313	1072160	1092527	11917	12434	13730	14416	15116	15442	15632	16015	529	552	598	614	615	617	621	633
m96Tk1IeqPc	Udinese vs. Inter Milan: Extended Highlights | Serie A | CBS Sports Golazo	2022-05-01T18:17:49Z	17	PT9M20S	120011	120233	121705	121983	122165	122275	122325	122502	838	840	850	852	855	855	855	859	110	112	116	117	118	115	116	117
nyEL4gEuC8g	Giuseppe Conte ospite a L'Aria che tira La7 3/05/2022	2022-05-03T11:02:19Z	25	PT21M7S	30778	31305	32683	33331	33692	33976	34195	34376	787	801	824	834	844	852	854	855	390	395	348	358	362	366	368	367
PcFC-Eek0E4	Una mamma polpo ASSURDA	2022-05-03T13:42:31Z	27	PT14M30S	182337	190777	207210	218835	228594	234134	236006	240997	18612	19352	20361	21364	22200	22555	22774	23092	318	328	347	361	369	372	373	376
9MhICC9iSkM	Danny spendaccione!	2022-05-04T10:00:07Z	22	PT9M23S	44977	47973	53077	56705	61789	64638	66494	70776	4841	5059	5472	5788	6214	6396	6507	6716	113	125	130	131	130	132	133	137
Shgz5SkFqH4	Bogdan DLP ✘ @STEVE ANT - Canta Melodia Aia Hit 🥀 Official Video	2022-04-30T09:00:11Z	10	PT3M14S	1797255	1886213	2145023	2344194	2515797	2607085	2684762	2852878	37738	38786	41155	42458	43814	44641	45273	46475	594	607	623	635	645	653	653	670
3w9LY_7oKiI	MANGIO una PIZZA in OGNI REGIONE d'ITALIA - Episodio 1	2022-05-02T12:30:02Z	24	PT10M17S	207046	225693	266805	304074	337643	364255	373969	389418	12468	13218	14591	16204	17804	18907	19443	19878	357	382	419	458	486	516	529	537
W6fPYXJ-Zro	Sfera Ebbasta, Rvssian - Mamma Mia	2022-04-28T23:00:08Z	10	PT3M34S	1641478	1728981	1971449	2157788	2348564	2475335	2580887	2798646	57841	58789	61357	62965	64722	65789	66782	68287	1752	1770	1802	1816	1841	1849	1864	1874
0B9GbMDZC6k	Sfera Ebbasta risponde a 18 domande in 128 secondi | Vanity Fair Italia	2022-05-04T15:00:00Z	22	PT2M10S	86117	126776	161496	172211	191676	204060	217370	236020	5512	7188	8305	8535	8820	9139	9578	9908	92	109	138	158	166	177	183	188
l58K4N4QECs	OCEANIA su ROBLOX	2022-05-03T12:00:22Z	24	PT10M26S	326917	350866	399208	443249	476086	486194	492007	502325	9064	9497	10208	10880	11350	11477	11578	11670	470	481	490	515	533	540	537	542
