video_id	title	published_at	category_id	duration	views_1	views_2	views_3	views_4	views_5	views_6	views_7	views_8	likes_1	likes_2	likes_3	likes_4	likes_5	likes_6	likes_7	likes_8	comments_1	comments_2	comments_3	comments_4	comments_5	comments_6	comments_7	comments_8
fA0F5q76bcw	ТИПЫ ДРУЗЕЙ !	2022-05-02T09:00:27Z	24	PT28M45S	9878445	10283318	10790589	10940209	11131146	11215247	11316324	11441810	543354	553169	565300	569691	574509	576701	579082	581414	30140	30515	30532	30668	30683	30708	30800	30793
0LPqYF4_eE0	Оля Полякова и Ксения Собчак - Правда о войне в Украине	2022-04-23T11:24:28Z	10	PT13M48S	1335881	1339516	1350173	1356218	1362900	1367162	1369869	1376296	33694	33758	33891	33968	34031	34077	34126	34211	8074	8090	8135	8162	8206	8218	8089	8115
j-56tTm3AXw	Lp. Идеальный МИР #1 ЛУЧШИЙ СЮЖЕТ • Майнкрафт	2022-04-29T12:00:16Z	20	PT19M25S	1506591	1533446	1581279	1604745	1630493	1648303	1665216	1684869	251621	253247	256046	257328	258933	259925	260857	261782	11159	11189	11230	11245	11271	11286	11293	11306
x-ud5Y1-21Y	O Ranjhana | Moods With Melodies The Album | Himesh Reshammiya |Amrita Kak|	2022-04-28T05:40:32Z	10	PT4M55S	1679943	1685351	1701075	1709237	1719688	1725071	1728269	1735338	39341	39453	39829	40004	40227	40321	40368	40511	4106	4107	4113	4116	4119	4118	4119	4123
0zWcV8ZCJyM	МЛАДШИЙ vs СТАРШИЙ Брат !	2022-05-01T07:00:11Z	22	PT15M7S	586688	610384	682416	729709	792274	808875	826721	849304	23002	23607	25181	26417	27403	27734	28049	28460	1274	1308	1406	1479	1523	1541	1561	1576
4fPi0kFryLI	Kalush Orchestra - Stefania - Exclusive Rehearsal Clip - Ukraine 🇺🇦 - Eurovision 2022	2022-05-04T12:52:30Z	24	PT46S	220611	258781	359083	403885	419044	426531	427444	449901	8742	9818	11496	12374	13156	13528	13880	14110	1023	1110	1321	1412	1462	1498	1546	1546
8LnNUyjzo7g	😢 Чому Зеленський та журналістка не стримали СЛІЗ на прес-конференції	2022-04-23T21:26:32Z	25	PT2M9S	3185187	3190945	3204534	3209690	3215129	3218813	3221213	3226033	56108	56174	56290	56323	56359	56376	56402	56427	None	None	None	None	None	None	None	None
06R0CTwUQCg	🇺🇦 Хайдук – Шахтар. Матч Shakhtar Global Tour for Peace in Ukraine	2022-05-01T15:05:21Z	17	PT2H1M34S	81355	81665	75744	75949	76348	76481	76515	76620	1203	1203	1205	1205	1204	1204	1204	1204	24	24	24	23	23	23	23	23
8dJyRm2jJ-U	PSY - 'That That (prod. & feat. SUGA of BTS)' MV	2022-04-29T09:00:10Z	10	PT3M37S	87182822	92856134	109573406	119780669	126108407	129089778	131616210	138054219	6165338	6234238	6476897	6611476	6737485	6810361	6857780	6971571	337396	340444	352238	356737	360870	363340	364815	367751
-6wb_BBc6Xw	КОТ СЛОМАЛ ВИДЕОКАРТУ GTX 750Ti / Не видит кабель питания	2022-04-27T05:00:00Z	28	PT1M	857953	869050	900062	913618	925974	934355	941334	959426	58775	59379	60752	61498	62200	62707	63173	64002	311	311	319	319	324	325	325	327
X10VFBZXEfU	ЗНАКОМЬТЕСЬ! НАША ДОЧЬ ❤ АННА ГЕРУН ТКАЧЕНКО!	2022-05-04T12:06:57Z	22	PT21M33S	551501	624994	729692	785440	839887	874686	906818	949011	40563	43479	47228	49373	51133	52357	53337	54621	4555	4822	5133	5273	5414	5480	5527	5600
oGvmMITObLg	Bhala Thandhanana Movie Songs | Green Tea Lyrical Video | Sree Vishnu | Namrita Malla | Mani Sharma	2022-04-30T05:10:26Z	10	PT4M32S	496189	497865	501441	527425	529107	530216	530967	532411	1040	1056	1121	1142	1154	1169	1184	1194	42	41	45	46	48	48	49	50
F8a3ZLRGvjA	Соловйова принижують і погрожують розправою. Війна за свастику на росії	2022-04-30T10:07:55Z	22	PT9M24S	1188677	1196813	1221092	1232182	1242179	1248527	1252207	1262275	92885	93146	93723	93984	94157	94298	94419	94642	5015	5031	5021	5029	4968	4976	4977	4982
k5N4T9z3H7E	ДЕТЕКТИВНЫЙ СЕРИАЛ ИНТРИГ И ЗАГАДОК! Сладкая месть. Серии 1 - 4.	2022-04-23T20:35:10Z	1	PT2H57M1S	846246	864243	922401	949532	972593	986293	996600	1024443	3846	3917	4096	4203	4293	4348	4377	4457	344	359	370	380	387	395	395	402
eZslMJsyKdw	alyona alyona - Рідні мої (feat. Jerry Heil)	2022-04-22T10:34:37Z	10	PT2M36S	1699230	1743182	1874791	1966081	2075126	2131040	2178071	2276857	86769	87893	90229	91856	93501	94328	95084	96447	3521	3556	3602	3648	3689	3714	3732	3786
-kXd2z_rH-Q	Eid Ho Jayegi (Official Video) Javed Ali,Raghav Sachar | Zareen Khan, Umar Riaz | Hindi Songs 2022	2022-04-28T04:30:59Z	22	PT4M26S	18659967	19621882	20670629	20846753	21021768	21136932	21186554	21242930	382944	386816	395255	398353	401344	403151	404077	405625	65689	71228	71848	72654	72754	72812	72845	72853
YpasO7KKg4c	🔴Коли відбудеться перелом війни? – ЖДАНОВ	2022-05-04T14:30:57Z	25	PT34M16S	677624	689026	745448	749705	761031	763233	764248	765707	14352	14462	15155	15139	15200	15203	15202	15204	933	956	849	854	850	851	851	847
RlA3WiUtXio	Bullet Song Lyrical | The Warriorr | Ram Pothineni | Lingusamy | Simbu (STR)| Krithi Shetty | DSP	2022-04-22T12:14:59Z	10	PT4M	6613065	6694981	6953940	7124088	7345508	7485314	7616334	7917546	91510	93003	97566	100528	103730	105856	107695	112263	1875	1897	1960	2000	2065	2099	2139	2193
